uc_id,current_state,confidence,evidence_q_ids,evidence_redacted,gap_notes,sensitivity_tag,citation_keys
UC-P-001,PARTIAL,HIGH,plaintext-in-config;rotation-on-policy;vault-deployed,,CyberArk vault holds Windows/AD privileged accounts but Unix/Linux and network-device passwords are onboarded inconsistently and several batch service accounts are still rotated by hand.,PUBLIC,
UC-P-002,MET,HIGH,bypass-blocked;proxy-brokered,,Privileged sessions to in-scope servers route through the PAM proxy with credential injection and direct admin paths are blocked at the network layer.,PUBLIC,
UC-P-003,MET,MED,sessions-recorded;tamper-evident,,Sessions are recorded with searchable command metadata and retained per policy; high-risk command flagging is enabled though review SLAs are still being tuned.,PUBLIC,
UC-P-004,GAP,HIGH,jit-coverage;standing-priv-removed,,"Most privileged roles still carry always-on standing membership; JIT elevation is piloted only for a handful of cloud admin groups, so zero-standing-privilege coverage is minimal.",PUBLIC,
UC-P-005,PARTIAL,MED,auto-onboard;discovery-recurring,,"Scheduled discovery runs across AD and the major Unix estate but cloud, DB and SaaS local-admin accounts are scanned ad hoc and newly found accounts are onboarded manually.",PUBLIC,
UC-P-006,GAP,MED,hardcoded-removed;runtime-fetch,,Application-to-application credentials are still largely hard-coded in config and CI variables; only two strategic platforms fetch credentials from the broker at runtime.,PUBLIC,
UC-P-007,PARTIAL,HIGH,mfa-at-proxy;phishing-resistant-tier0,,"MFA is enforced at the PAM elevation point for all in-scope access, but phishing-resistant FIDO2 is rolled out to only part of the tier-0 administrator population.",PUBLIC,
UC-P-008,MET,MED,breakglass-sealed;dual-control;post-use-rotation,,"Break-glass accounts are sealed, alert-on-use, require dual control at checkout and auto-rotate after use with an auto-raised incident for review.",PUBLIC,
UC-P-009,PARTIAL,MED,local-admin-removed;per-app-elevation,,Standing local-admin has been removed from the standard SOE fleet but a sizeable population of developer and engineering workstations still retains local-admin pending an EPM rollout.,PUBLIC,
UC-P-010,GAP,MED,entitlements-rightsized;high-risk-combos-flagged,,Privileged entitlements are not yet right-sized against actual usage; no periodic least-privilege baseline review exists and excess grants accumulate over time.,PUBLIC,
UC-P-011,PARTIAL,HIGH,standing-vendor-creds;vendor-brokered,,"Strategic vendors connect through the recorded PAM proxy with JIT grants, but a few legacy support arrangements still rely on standing VPN and shared admin credentials.",PUBLIC,
UC-P-012,GAP,MED,ciem-deployed;drift-monitored,,There is no continuous cloud entitlement analysis across AWS/Azure/GCP; over-permissioned cloud identities are only found during periodic manual reviews.,PUBLIC,
UC-P-013,PENDING,LOW,,,Secretless privileged workload attestation has not yet been assessed; the platform team has flagged it for a future spike alongside the workload-identity program.,PUBLIC,
UC-P-014,PARTIAL,MED,orphan-revoke;recert-cycle,,"Privileged accounts are recertified annually as part of the broader access review, but the cadence is not risk-tiered and a meaningful share of items are bulk-approved.",PUBLIC,
UC-P-015,GAP,LOW,behavioural-analytics,,Privileged session and credential-use telemetry is forwarded to the SIEM but no behavioural analytics or anomaly detection is applied to it today.,PUBLIC,
UC-P-016,PARTIAL,MED,kerberoast-detection;pth-detection,,"The SOC has detections for pass-the-hash and Kerberoasting via the EDR/SIEM, but DCSync and token-theft coverage against privileged accounts is incomplete and not fully correlated.",PUBLIC,
UC-P-017,MET,MED,availability-target-met;breakglass-tested;failover-tested,,The PAM platform meets its availability and recovery targets with tested break-glass paths; cross-region failover is exercised though the full DR drill cadence is still being formalised.,PUBLIC,
